symbol,side,createdTime,updatedTime,avgEntryPrice,avgExitPrice,qty,closedPnl,stopLoss,takeProfit,leverage
WIFUSDT,Buy,2025-11-07 03:19:08.098,2025-11-07 05:10:01.672,0.4396,0.4398,45.0,-0.02285752,0.0,0.0,20
WIFUSDT,Buy,2025-11-07 03:54:44.509,2025-11-07 03:54:44.513,0.4396,0.4358,12.0,0.04166868,0.0,0.0,20
DOGEUSDT,Buy,2025-11-07 05:09:24.643,2025-11-07 11:13:31.885,0.16564,0.16307,144.0,0.35467452,0.0,0.0,20
XRPUSDT,Sell,2025-11-07 05:44:42.879,2025-11-07 05:44:42.882,2.2037,2.2287,21.2,0.49765595,0.0,0.0,20
SOLUSDT,Buy,2025-11-07 06:56:01.362,2025-11-07 06:56:01.365,157.40666666,156.99,0.6,0.1793045,0.0,0.0,20
KASUSDT,Sell,2025-11-07 07:48:04.586,2025-11-07 07:48:04.589,0.05102,0.05119,1350.0,0.17771601,0.0,0.0,20
WIFUSDT,Sell,2025-11-07 07:48:09.465,2025-11-07 07:48:09.468,0.4406,0.4453,52.0,0.22708218,0.0,0.0,20
PONKEUSDT,Sell,2025-11-07 07:53:34.444,2025-11-07 09:23:32.358,0.04969334,0.04895432,1386.0,-1.07650859,0.0,0.0,20
KASUSDT,Sell,2025-11-07 09:00:07.069,2025-11-07 09:00:07.072,0.0514,0.05161,880.0,0.15077436,0.0,0.0,20
HBARUSDT,Buy,2025-11-07 09:00:11.069,2025-11-07 09:00:11.073,0.16819,0.16748,142.0,0.08187652,0.0,0.0,20
SOLUSDT,Sell,2025-11-07 09:03:36.529,2025-11-07 09:36:03.312,156.21333334,154.45,0.3,-0.56385705,0.0,0.0,20
SUIUSDT,Sell,2025-11-07 09:33:10.873,2025-11-07 12:32:15.071,1.97386667,1.9452,30.0,-0.903939,0.0,0.0,20
PONKEUSDT,Sell,2025-11-07 09:34:44.454,2025-11-07 11:14:09.248,0.04843667,0.04780134,1440.0,-0.96667843,0.0,0.0,20
BRETTUSDT,Sell,2025-11-07 09:47:14.954,2025-11-07 10:34:37.913,0.02141667,0.02105,3240.0,-1.2393891,0.0,0.0,20
ETHUSDT,Sell,2025-11-07 10:03:54.084,2025-11-07 11:20:18.308,3283.3534,3237.51,0.03,-1.44841904,0.0,0.0,20
SOLUSDT,Sell,2025-11-07 10:17:41.705,2025-11-07 12:31:49.349,153.44666667,151.37,0.3,-0.65718285,0.0,0.0,20
WIFUSDT,Sell,2025-11-07 10:49:56.438,2025-11-07 11:36:49.810,0.43583334,0.4295,159.0,-1.05841928,0.0,0.0,20
BRETTUSDT,Sell,2025-11-07 10:50:03.406,2025-11-07 12:48:59.013,0.02082667,0.02035,3240.0,-1.59164261,0.0,0.0,20
LINKUSDT,Sell,2025-11-07 10:51:36.428,2025-11-07 12:27:11.313,14.65266667,14.48,4.8,-0.88109376,0.0,0.0,20
KASUSDT,Sell,2025-11-07 10:51:53.010,2025-11-07 12:27:18.966,0.04914667,0.04858,1380.0,-0.83471232,0.0,0.0,20
ONDOUSDT,Sell,2025-11-07 11:04:08.530,2025-11-07 11:16:00.435,0.6043,0.5973,114.0,-0.84922875,0.0,0.0,20
WIFUSDT,Sell,2025-11-07 12:17:02.159,2025-11-07 12:48:45.845,0.42903334,0.4226,150.0,-1.0127355,0.0,0.0,20
ETHUSDT,Sell,2025-11-07 12:28:40.034,2025-11-07 14:44:42.366,3209.95,3258.46,0.01,0.46075857,0.0,0.0,20
XRPUSDT,Sell,2025-11-07 12:30:30.498,2025-11-07 13:21:17.721,2.1625,2.1947,10.0,0.30560414,0.0,0.0,20
1000PEPEUSDT,Buy,2025-11-07 12:32:13.911,2025-11-07 12:32:13.914,0.00566633,0.00556885,12600.0,1.18271668,0.0,0.0,20
ONDOUSDT,Sell,2025-11-07 13:39:34.303,2025-11-07 13:39:34.307,0.59586667,0.6012,108.0,0.52632936,0.0,0.0,20
PONKEUSDT,Sell,2025-11-07 13:39:37.281,2025-11-07 13:39:37.284,0.04704,0.04738485,916.0,0.28339975,0.0,0.0,20
HBARUSDT,Sell,2025-11-07 13:39:42.348,2025-11-07 13:39:42.352,0.16094334,0.16167696,402.0,0.24623336,0.0,0.0,20
ONDOUSDT,Buy,2025-11-07 14:03:26.224,2025-11-07 14:43:32.526,0.6049,0.6049,59.0,-0.02676683,0.0,0.0,20
PONKEUSDT,Sell,2025-11-07 14:06:27.358,2025-11-07 14:44:46.347,0.04697,0.04776438,882.0,0.66919397,0.0,0.0,20
HBARUSDT,Sell,2025-11-07 14:35:28.048,2025-11-07 14:45:19.745,0.16183,0.16552,248.0,0.8845163,0.0,0.0,20
SOLUSDT,Sell,2025-11-07 14:37:13.848,2025-11-07 14:43:23.335,150.22,152.38,0.1,0.2046147,0.0,0.0,20
ONDOUSDT,Buy,2025-11-07 14:37:16.073,2025-11-07 14:37:16.076,0.6049,0.5956,11.0,0.09736584,0.0,0.0,20
KASUSDT,Sell,2025-11-07 14:37:22.370,2025-11-07 15:10:28.004,0.04896,0.0502,1240.0,1.49122152,0.0,0.0,20
LINKUSDT,Sell,2025-11-07 14:37:29.762,2025-11-07 14:43:22.112,14.32,14.531,1.4,0.28020153,0.0,0.0,20
SUIUSDT,Sell,2025-11-07 14:38:00.144,2025-11-07 14:43:32.834,1.9317,1.9596,10.0,0.2643588,0.0,0.0,20
WIFUSDT,Sell,2025-11-07 14:38:08.727,2025-11-07 14:42:14.725,0.4228,0.4294,47.0,0.29512569,0.0,0.0,20
HBARUSDT,Sell,2025-11-07 14:44:12.689,2025-11-07 14:44:12.693,0.16183,0.16446,10.0,0.02507181,0.0,0.0,20
1000PEPEUSDT,Sell,2025-11-07 14:44:30.499,2025-11-07 14:44:30.503,0.0055465,0.005643,7200.0,0.66446676,0.0,0.0,20
KASUSDT,Sell,2025-11-07 14:44:48.173,2025-11-07 14:44:48.176,0.04896,0.04949,20.0,0.00985977,0.0,0.0,20
XRPUSDT,Buy,2025-11-07 14:44:51.247,2025-11-07 16:24:16.463,2.20383333,2.2318,28.8,-0.85218587,0.0,0.0,20
ONDOUSDT,Buy,2025-11-07 14:44:51.564,2025-11-07 14:48:42.483,0.6092,0.614,35.0,-0.1840839,0.0,0.0,20
ONDOUSDT,Buy,2025-11-07 15:02:37.825,2025-11-07 15:26:34.472,0.61846666,0.627,108.0,-0.97220268,0.0,0.0,20
SOLUSDT,Buy,2025-11-07 15:10:07.224,2025-11-07 16:24:28.105,155.55333333,157.29,0.3,-0.55537416,0.0,0.0,20
LINKUSDT,Buy,2025-11-07 15:16:06.040,2025-11-07 16:23:23.171,15.02766666,15.237,4.5,-0.99105198,0.0,0.0,20
WIFUSDT,Buy,2025-11-07 15:17:38.106,2025-11-07 15:50:15.877,0.44786666,0.4547,150.0,-1.07594875,0.0,0.0,20
SUIUSDT,Buy,2025-11-07 15:20:37.854,2025-11-07 15:52:15.920,2.03953333,2.0678,30.0,-0.8943559,0.0,0.0,20
1000PEPEUSDT,Buy,2025-11-07 15:21:18.495,2025-11-07 16:20:35.923,0.00575266,0.005831,11400.0,-0.9361072,0.0,0.0,20
BRETTUSDT,Buy,2025-11-07 15:21:19.864,2025-11-07 15:27:18.879,0.02171666,0.02195,3120.0,-0.77921741,0.0,0.0,20
BRETTUSDT,Buy,2025-11-07 15:47:06.942,2025-11-07 16:20:46.036,0.02187666,0.0222,3000.0,-1.016471,0.0,0.0,20
ONDOUSDT,Buy,2025-11-07 15:49:47.889,2025-11-07 16:35:07.524,0.63596666,0.6499,105.0,-1.51167398,0.0,0.0,20
DOGEUSDT,Buy,2025-11-07 15:49:49.487,2025-11-07 16:44:41.958,0.17031666,0.1741,393.0,-1.53655137,0.0,0.0,20
HBARUSDT,Buy,2025-11-07 16:00:28.311,2025-11-07 16:38:41.579,0.16956,0.17193,372.0,-0.92943216,0.0,0.0,20
TRXUSDT,Buy,2025-11-07 16:01:24.212,2025-11-07 18:37:10.904,0.28799666,0.29186,231.0,-0.94281628,0.0,0.0,20
SUIUSDT,Buy,2025-11-07 16:20:35.227,2025-11-07 16:25:48.034,2.05503333,2.0783,30.0,-0.74462215,0.0,0.0,20
WIFUSDT,Buy,2025-11-07 16:21:02.889,2025-11-07 16:52:41.839,0.46436666,0.475,135.0,-1.48330665,0.0,0.0,20
ETHUSDT,Buy,2025-11-07 16:28:19.134,2025-11-07 19:12:44.380,3328.99,3435.75,0.01,-1.09315461,0.0,0.0,20
BRETTUSDT,Buy,2025-11-07 16:31:36.548,2025-11-07 17:14:04.017,0.02266333,0.02294,2430.0,-0.71397369,0.0,0.0,20
SOLUSDT,Buy,2025-11-07 16:31:48.043,2025-11-07 17:29:52.087,158.85666666,161.07,0.3,-0.70010795,0.0,0.0,20
PONKEUSDT,Buy,2025-11-07 16:45:39.027,2025-11-07 17:28:28.186,0.05139333,0.05220131,1095.0,-0.92742338,0.0,0.0,20
1000PEPEUSDT,Buy,2025-11-07 16:52:03.715,2025-11-07 18:01:27.803,0.00601333,0.006146,9000.0,-1.2352467,0.0,0.0,20
ONDOUSDT,Buy,2025-11-07 16:52:41.085,2025-11-07 18:08:57.333,0.65905,0.6779,56.0,-1.08386068,0.0,0.0,20
