symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,date,outcome
NEARUSDT,Market,20.0,1762269823409,Buy,b249e30d-29f8-4f38-b5ae-fab6fe397d49,0.0415371,0.0021307,0.0058322,1.937,5.5,10.6535,1762269823406,2.024,5.5,1.928,Trade,1,10.604,2025-11-04 15:23:43.406,WIN
NEARUSDT,Market,20.0,1762270312957,Buy,35d578c0-6e43-4759-86a8-22ff20336db9,0.10207037,0.0021307,0.00579893,1.937,5.5,10.6535,1762270312954,2.012,5.5,1.917,Trade,1,10.5435,2025-11-04 15:31:52.954,WIN
1000PEPEUSDT,Market,20.0,1762273191690,Sell,81b34e5c-88b8-437f-aad6-06fa74345334,-0.99723324,0.01303856,0.03533772,0.00571867,11400.0,65.1928,1762270430763,0.005433,11400,0.005636,Trade,1,64.2504,2025-11-04 15:33:50.763,LOSS
NEARUSDT,Market,20.0,1762271233182,Buy,84bc01e0-94ec-4840-86ef-105dda8c086a,0.0114255,0.00015496,0.00041954,1.937,0.4,0.7748,1762271233178,2.002,0.4,1.907,Trade,1,0.7628,2025-11-04 15:47:13.178,WIN
ETHUSDT,Market,20.0,1762271565005,Buy,8dbf82fa-13db-461a-9f09-fe7f37e545d6,0.18996016,0.00705568,0.01928416,3527.84,0.01,35.2784,1762271565001,3576.07,0.01,3506.21,Trade,1,35.0621,2025-11-04 15:52:45.001,WIN
SUIUSDT,Market,20.0,1762275746825,Sell,0a4bbc8a-2cfa-4aed-8bf2-f9712894e761,-0.19885005,0.003987,0.01086305,1.9935,10.0,19.935,1762274783525,1.8939,10,1.9751,Trade,1,19.751,2025-11-04 16:46:23.525,LOSS
HBARUSDT,Market,20.0,1762275768564,Sell,cb3184c2-1385-4bda-a4e3-53cc0e600c50,-0.78367755,0.01286461,0.03497294,0.17016667,378.0,64.323,1762274788169,0.16166,378,0.16822,Trade,1,63.58716,2025-11-04 16:46:28.169,LOSS
HBARUSDT,Market,20.0,1762278106714,Sell,fc1c3089-688b-491d-9304-cc14e76d7355,-0.01660145,0.00410457,0.01128688,0.16961,121.0,20.52281,1762277461184,0.16113,121,0.1696,Trade,3,20.5216,2025-11-04 17:31:01.184,LOSS
HBARUSDT,Market,20.0,1762277490094,Sell,1f88b29f-617a-4aef-bee6-c9ae40147204,0.00421129,0.00016961,0.0004691,0.16961,5.0,0.84805,1762277490090,0.16197,5,0.17058,Trade,1,0.8529,2025-11-04 17:31:30.090,WIN
HBARUSDT,Market,20.0,1762279442635,Sell,4c2409df-bde4-428c-b40e-e11cf7d89993,-0.39175798,0.00847628,0.0231117,0.16818,252.0,42.38136,1762279300947,0.15978,252,0.16675075,Trade,8,42.02119,2025-11-04 18:01:40.947,LOSS
SUIUSDT,Market,20.0,1762281836039,Sell,e321081b-39f0-4d8c-8269-87373cc4f64a,0.6449523,0.0076472,0.0214005,1.9118,20.0,38.236,1762280739546,1.8496,20,1.9455,Trade,1,38.91,2025-11-04 18:25:39.546,WIN
SUIUSDT,Market,20.0,1762291504071,Sell,10c9d472-653a-401d-b7fd-ee47cd7127bf,-0.76171155,0.0114952,0.03121635,1.91586667,30.0,57.476,1762289501094,1.8201,30,1.8919,Trade,1,56.757,2025-11-04 20:51:41.094,LOSS
SUIUSDT,Market,20.0,1762293319807,Sell,6d2dd6ee-ca66-4f09-907c-b29b5f80674a,0.26681595,0.0037412,0.01044285,1.8706,10.0,18.706,1762293197653,1.8042,10,1.8987,Trade,1,18.987,2025-11-04 21:53:17.653,WIN
KASUSDT,Market,20.0,1762296289753,Buy,5ebd55e3-3137-4a2c-9ed4-9877c69c8706,0.19849392,0.00854208,0.023364,0.04449,960.0,42.7104,1762296289750,0.04671,960,0.04425,Trade,1,42.48,2025-11-04 22:44:49.750,WIN
KASUSDT,Market,20.0,1762464916591,Buy,79e8fb22-8c06-4079-b8ed-28bcf8b27522,-1.37467902,0.0094499,0.02672472,0.044575,1060.0,47.2495,1762454065881,0.0468,1060,0.04584,Trade,1,48.5904,2025-11-06 18:34:25.881,LOSS
