symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable,ticker,date
SOLUSDT,Market,20,1762526603335,Sell,603b3739-747e-49a1-8eb7-9c84e0a62799,0.2046147,0.0030044,0.0083809,150.22,0.1,15.022,1762526233848,144.81,0.1,152.38,Trade,1,15.238,2025-11-07 14:37:13,2025-11-07 14:43:23,SOLUSDT,2025-11-07
SOLUSDT,Market,20,1762518709349,Sell,7ff7047e-855d-4018-b22f-64240616474f,-0.65718285,0.0092068,0.02497605,153.44666667,0.3,46.034,1762510661705,145.78,0.3,151.37,Trade,1,45.411,2025-11-07 10:17:41,2025-11-07 12:31:49,SOLUSDT,2025-11-07
SOLUSDT,Market,20,1762508163312,Sell,cee3ab5e-ed9b-434d-a0a8-bbb5ae99b32b,-0.56385705,0.0093728,0.02548425,156.21333334,0.3,46.864,1762506216529,148.41,0.3,154.45,Trade,2,46.335,2025-11-07 09:03:36,2025-11-07 09:36:03,SOLUSDT,2025-11-07
SOLUSDT,Market,20,1762498561365,Buy,223cc802-fc19-4d2a-8a43-ebf85a27fa9a,0.1793045,0.0188888,0.0518067,157.40666666,0.6,94.444,1762498561362,164.83,0.6,156.99,Trade,1,94.194,2025-11-07 06:56:01,2025-11-07 06:56:01,SOLUSDT,2025-11-07
SOLUSDT,Market,20,1762477350594,Sell,65f26622-bb72-4dbf-a886-448d64c309c0,0.6110701,0.0092738,0.02585715,154.56333334,0.3,46.369,1762477350590,148.88,0.3,156.71,Trade,1,47.013,2025-11-07 01:02:30,2025-11-07 01:02:30,SOLUSDT,2025-11-07
SUIUSDT,Market,20,1762532748034,Buy,2eed03ec-6c89-4c09-b3e1-568630da4c60,-0.74462215,0.0123302,0.03429195,2.05503333,30.0,61.651,1762532435227,2.1577,30.0,2.0783,Trade,1,62.349,2025-11-07 16:20:35,2025-11-07 16:25:48,SUIUSDT,2025-11-07
SUIUSDT,Market,20,1762530735920,Buy,89a8c1f1-f40d-47d6-8a21-c5501b421677,-0.8943559,0.0122372,0.0341187,2.03953333,30.0,61.186,1762528837854,2.1415,30.0,2.0678,Trade,1,62.034,2025-11-07 15:20:37,2025-11-07 15:52:15,SUIUSDT,2025-11-07
SUIUSDT,Market,20,1762526612834,Sell,7a79ea8c-931a-477a-b0f6-06b0877e5fe6,0.2643588,0.0038634,0.0107778,1.9317,10.0,19.317,1762526280144,1.8625,10.0,1.9596,Trade,1,19.596,2025-11-07 14:38:00,2025-11-07 14:43:32,SUIUSDT,2025-11-07
SUIUSDT,Market,20,1762518735071,Sell,e31f09d9-fc29-497f-9109-221e673a8e97,-0.903939,0.0118432,0.0320958,1.97386667,30.0,59.216,1762507990873,1.8752,30.0,1.9452,Trade,3,58.356,2025-11-07 09:33:10,2025-11-07 12:32:15,SUIUSDT,2025-11-07
SUIUSDT,Market,20,1762492141046,Buy,c2106da0-05e0-4653-9810-85ec3a515502,-0.87840265,0.0119852,0.03341745,1.99753333,30.0,59.926,1762482995004,2.0974,30.0,2.0253,Trade,1,60.759,2025-11-07 02:36:35,2025-11-07 05:09:01,SUIUSDT,2025-11-07
